MuP,NLL,MuT,OptMuP,BFMuP
12.442211055276381,1500.3378986135488,0.08,15.0,13.195979899497488
12.467336683417086,1499.8059323964626,0.08,15.0,13.195979899497488
12.492462311557789,1499.29307067893,0.08,15.0,13.195979899497488
12.517587939698492,1498.7992363626684,0.08,15.0,13.195979899497488
12.542713567839197,1498.324352808721,0.08,15.0,13.195979899497488
12.5678391959799,1497.8683438337061,0.08,15.0,13.195979899497488
12.592964824120603,1497.431133706148,0.08,15.0,13.195979899497488
12.618090452261306,1497.0126471427657,0.08,15.0,13.195979899497488
12.64321608040201,1496.6128093048758,0.08,15.0,13.195979899497488
12.668341708542714,1496.2315457947598,0.08,15.0,13.195979899497488
12.693467336683417,1495.868782652148,0.08,15.0,13.195979899497488
12.71859296482412,1495.524446350659,0.08,15.0,13.195979899497488
12.743718592964825,1495.1984637942878,0.08,15.0,13.195979899497488
12.768844221105528,1494.8907623140115,0.08,15.0,13.195979899497488
12.793969849246231,1494.6012696642642,0.08,15.0,13.195979899497488
12.819095477386934,1494.3299140196361,0.08,15.0,13.195979899497488
12.844221105527637,1494.076623971474,0.08,15.0,13.195979899497488
12.869346733668342,1493.8413285245076,0.08,15.0,13.195979899497488
