JudgeName,FullAssignment,Assignment,Date,AssignmentType,StartDate,WorkType,Week,County,Circuit,Days
MCKELLAR,Charleston CP,Charleston CP,2000-12-05,Single,2000-12-04,CP,49-2000,Charleston,9,1.0
MCKELLAR,Charleston CP,Charleston CP,2000-12-06,Single,2000-12-04,CP,49-2000,Charleston,9,1.0
MCKELLAR,Charleston CP,Charleston CP,2000-12-07,Single,2000-12-04,CP,49-2000,Charleston,9,1.0
MCKELLAR,Charleston CP,Charleston CP,2000-12-08,Single,2000-12-04,CP,49-2000,Charleston,9,1.0
MILLING,14th Cir. CPNJ,14th Cir. CPNJ,2000-12-04,Single,2000-12-04,CPNJ,49-2000,14th Cir.,14,1.0
MILLING,14th Cir. CPNJ,14th Cir. CPNJ,2000-12-05,Single,2000-12-04,CPNJ,49-2000,14th Cir.,14,1.0
MILLING,14th Cir. CPNJ,14th Cir. CPNJ,2000-12-06,Single,2000-12-04,CPNJ,49-2000,14th Cir.,14,1.0
MILLING,14th Cir. CPNJ,14th Cir. CPNJ,2000-12-07,Single,2000-12-04,CPNJ,49-2000,14th Cir.,14,1.0
MILLING,14th Cir. CPNJ,14th Cir. CPNJ,2000-12-08,Single,2000-12-04,CPNJ,49-2000,14th Cir.,14,1.0
NICHOLSON,Anderson CP,Anderson CP,2000-12-04,Single,2000-12-04,CP,49-2000,Anderson,10,1.0
NICHOLSON,Anderson CP,Anderson CP,2000-12-05,Single,2000-12-04,CP,49-2000,Anderson,10,1.0
NICHOLSON,Anderson CP,Anderson CP,2000-12-06,Single,2000-12-04,CP,49-2000,Anderson,10,1.0
NICHOLSON,Anderson CP,Anderson CP,2000-12-07,Single,2000-12-04,CP,49-2000,Anderson,10,1.0
NICHOLSON,Anderson CP,Anderson CP,2000-12-08,Single,2000-12-04,CP,49-2000,Anderson,10,1.0
PATTERSON,Greenville GS,Greenville GS,2000-12-04,Single,2000-12-04,GS,49-2000,Greenville,13,1.0
PATTERSON,Greenville GS,Greenville GS,2000-12-05,Single,2000-12-04,GS,49-2000,Greenville,13,1.0
PATTERSON,Greenville GS,Greenville GS,2000-12-06,Single,2000-12-04,GS,49-2000,Greenville,13,1.0
PATTERSON,Greenville GS,Greenville GS,2000-12-07,Single,2000-12-04,GS,49-2000,Greenville,13,1.0
PATTERSON,Greenville GS,Greenville GS,2000-12-08,Single,2000-12-04,GS,49-2000,Greenville,13,1.0
PIEPER,Berkeley GS,Berkeley GS,2000-12-04,Single,2000-12-04,GS,49-2000,Berkeley,9,1.0
PIEPER,Berkeley GS,Berkeley GS,2000-12-05,Single,2000-12-04,GS,49-2000,Berkeley,9,1.0
PIEPER,Berkeley GS,Berkeley GS,2000-12-06,Single,2000-12-04,GS,49-2000,Berkeley,9,1.0
PIEPER,Berkeley GS,Berkeley GS,2000-12-07,Single,2000-12-04,GS,49-2000,Berkeley,9,1.0
PIEPER,Berkeley GS,Berkeley GS,2000-12-08,Single,2000-12-04,GS,49-2000,Berkeley,9,1.0
RAWL,Beaufort CP,Beaufort CP,2000-12-04,Single,2000-12-04,CP,49-2000,Beaufort,14,1.0
RAWL,Beaufort CP,Beaufort CP,2000-12-05,Single,2000-12-04,CP,49-2000,Beaufort,14,1.0
RAWL,Beaufort CP,Beaufort CP,2000-12-06,Single,2000-12-04,CP,49-2000,Beaufort,14,1.0
RAWL,Beaufort CP,Beaufort CP,2000-12-07,Single,2000-12-04,CP,49-2000,Beaufort,14,1.0
RAWL,Beaufort CP,Beaufort CP,2000-12-08,Single,2000-12-04,CP,49-2000,Beaufort,14,1.0
SAUNDERS,Greenwood GS,Greenwood GS,2000-12-04,Single,2000-12-04,GS,49-2000,Greenwood,8,1.0
SAUNDERS,Greenwood GS,Greenwood GS,2000-12-05,Single,2000-12-04,GS,49-2000,Greenwood,8,1.0
SAUNDERS,Greenwood GS,Greenwood GS,2000-12-06,Single,2000-12-04,GS,49-2000,Greenwood,8,1.0
SAUNDERS,Greenwood GS,Greenwood GS,2000-12-07,Single,2000-12-04,GS,49-2000,Greenwood,8,1.0
SAUNDERS,Greenwood GS,Greenwood GS,2000-12-08,Single,2000-12-04,GS,49-2000,Greenwood,8,1.0
SHORT,Lancaster GS,Lancaster GS,2000-12-04,Single,2000-12-04,GS,49-2000,Lancaster,6,1.0
SHORT,Lancaster GS,Lancaster GS,2000-12-05,Single,2000-12-04,GS,49-2000,Lancaster,6,1.0
SHORT,Lancaster GS,Lancaster GS,2000-12-06,Single,2000-12-04,GS,49-2000,Lancaster,6,1.0
SHORT,Lancaster GS,Lancaster GS,2000-12-07,Single,2000-12-04,GS,49-2000,Lancaster,6,1.0
SHORT,Lancaster GS,Lancaster GS,2000-12-08,Single,2000-12-04,GS,49-2000,Lancaster,6,1.0
THOMAS,15th Cir. CPNJ + Horry GS CP CC 5,Horry GS CP CC,2000-12-05,MultipleSD,2000-12-04,GS CP CC,49-2000,Horry,15,1.0
THOMAS,15th Cir. CPNJ + Horry GS CP CC 5,15th Cir. CPNJ,2000-12-04,MultipleSD,2000-12-04,CPNJ,49-2000,15th Cir.,15,1.0
THOMAS,15th Cir. CPNJ + Horry GS CP CC 5,15th Cir. CPNJ,2000-12-06,MultipleSD,2000-12-04,CPNJ,49-2000,15th Cir.,15,1.0
THOMAS,15th Cir. CPNJ + Horry GS CP CC 5,15th Cir. CPNJ,2000-12-07,MultipleSD,2000-12-04,CPNJ,49-2000,15th Cir.,15,1.0
THOMAS,15th Cir. CPNJ + Horry GS CP CC 5,15th Cir. CPNJ,2000-12-08,MultipleSD,2000-12-04,CPNJ,49-2000,15th Cir.,15,1.0
WATSON,11th Cir. CPNJ,11th Cir. CPNJ,2000-12-04,Single,2000-12-04,CPNJ,49-2000,11th Cir.,11,1.0
WATSON,11th Cir. CPNJ,11th Cir. CPNJ,2000-12-05,Single,2000-12-04,CPNJ,49-2000,11th Cir.,11,1.0
WATSON,11th Cir. CPNJ,11th Cir. CPNJ,2000-12-06,Single,2000-12-04,CPNJ,49-2000,11th Cir.,11,1.0
WATSON,11th Cir. CPNJ,11th Cir. CPNJ,2000-12-07,Single,2000-12-04,CPNJ,49-2000,11th Cir.,11,1.0
WATSON,11th Cir. CPNJ,11th Cir. CPNJ,2000-12-08,Single,2000-12-04,CPNJ,49-2000,11th Cir.,11,1.0
WESTBROOK,Lexington GS,Lexington GS,2000-12-04,Single,2000-12-04,GS,49-2000,Lexington,11,1.0
WESTBROOK,Lexington GS,Lexington GS,2000-12-05,Single,2000-12-04,GS,49-2000,Lexington,11,1.0
WESTBROOK,Lexington GS,Lexington GS,2000-12-06,Single,2000-12-04,GS,49-2000,Lexington,11,1.0
WESTBROOK,Lexington GS,Lexington GS,2000-12-07,Single,2000-12-04,GS,49-2000,Lexington,11,1.0
WESTBROOK,Lexington GS,Lexington GS,2000-12-08,Single,2000-12-04,GS,49-2000,Lexington,11,1.0
WILLIAMS,Richland GS,Richland GS,2000-12-04,Single,2000-12-04,GS,49-2000,Richland,5,1.0
WILLIAMS,Richland GS,Richland GS,2000-12-05,Single,2000-12-04,GS,49-2000,Richland,5,1.0
WILLIAMS,Richland GS,Richland GS,2000-12-06,Single,2000-12-04,GS,49-2000,Richland,5,1.0
WILLIAMS,Richland GS,Richland GS,2000-12-07,Single,2000-12-04,GS,49-2000,Richland,5,1.0
WILLIAMS,Richland GS,Richland GS,2000-12-08,Single,2000-12-04,GS,49-2000,Richland,5,1.0
BROWN,Charleston GS,Charleston GS,2000-12-04,Single,2000-12-04,GS,49-2000,Charleston,9,1.0
BROWN,Charleston GS,Charleston GS,2000-12-05,Single,2000-12-04,GS,49-2000,Charleston,9,1.0
BROWN,Charleston GS,Charleston GS,2000-12-06,Single,2000-12-04,GS,49-2000,Charleston,9,1.0
BROWN,Charleston GS,Charleston GS,2000-12-07,Single,2000-12-04,GS,49-2000,Charleston,9,1.0
BROWN,Charleston GS,Charleston GS,2000-12-08,Single,2000-12-04,GS,49-2000,Charleston,9,1.0
COTTINGHAM,Dillon GS,Dillon GS,2000-12-04,Single,2000-12-04,GS,49-2000,Dillon,4,1.0
