JudgeName,FullAssignment,Week,Assignment,County
NEWMAN,Charleston CP,32-2000,Charleston CP,Charleston
SIMMONS,na,32-2000,na,na
GIER,York CPNJ 10,32-2000,York CPNJ 10,York
BERGDORF,na,32-2000,na,na
ALFORD,in chambers,33-2000,in chambers,na
BARBER,in chambers + Richland GS(SGJ) 15,33-2000,in chambers ,na
BAXLEY,in chambers,33-2000,in chambers,na
BEATTY,in chambers,33-2000,in chambers,na
BREEDEN,in chambers + 15th Cir. CPNJ 15,33-2000,in chambers ,na
BROGDON,in chambers + 12th Cir. CPNJ 15,33-2000,in chambers ,na
BUCKNER,in chambers,33-2000,in chambers,na
BURCH,in chambers,33-2000,in chambers,na
CLARY,in chambers,33-2000,in chambers,na
COLE,in chambers,33-2000,in chambers,na
COOPER TW,in chambers + 3rd Cir. CPNJ 14,33-2000,in chambers ,na
DENNIS,in chambers + Berkeley GS(SGJ) 14,33-2000,in chambers ,na
FEW,in chambers + 13th Cir. CPNJ 14,33-2000,in chambers ,na
FLOYD H,in chambers,33-2000,in chambers,na
FLOYD S,in chambers,33-2000,in chambers,na
GOODE,in chambers,33-2000,in chambers,na
GOODSTEIN,in chambers + 1st Cir. CPNJ 14,33-2000,in chambers ,na
GREGORY,"in chambers + 14th Cir. CPNJ 14,15",33-2000,in chambers ,na
HALL,in chambers + Horry GS,33-2000,in chambers ,na
HARWELL,in chambers,33-2000,in chambers,na
HAYES,in chambers,33-2000,in chambers,na
JOHNSON,in chambers + Laurens GS(SGJ) 14,33-2000,in chambers ,na
KEESLEY,in chambers + Lexington GS 16,33-2000,in chambers ,na
KINARD,in chambers,33-2000,in chambers,na
KING,in chambers,33-2000,in chambers,na
KITTREDGE,in chambers + 13th Cir. CPNJ 15,33-2000,in chambers ,na
LEE,in chambers,33-2000,in chambers,na
LOCKEMY,in chambers + 4th Cir. CPNJ 14,33-2000,in chambers ,na
MACAULAY,in chambers,33-2000,in chambers,na
