JudgeName,FullAssignment,Week,Assignment
SIMMONS,na,52-2000,na
GIER,na,52-2000,na
BERGDORF,na,52-2000,na
SIMMONS,na,49-2000,na
GIER,na,49-2000,na
BERGDORF,na,50-2000,na
BROWN,na,51-2000,na
COTTINGHAM,na,51-2000,na
HUGHSTON,na,51-2000,na
PYLE,na,51-2000,na
SMOAK,na,51-2000,na
GIER,na,51-2000,na
BERGDORF,na,51-2000,na
BROWN,na,52-2000,na
COTTINGHAM,na,52-2000,na
HUGHSTON,na,52-2000,na
PYLE,na,52-2000,na
SMOAK,na,52-2000,na
SIMMONS,na,52-2000,na
GIER,na,52-2000,na
BERGDORF,na,52-2000,na
ALFORD,York GS,32-2000,York GS
BARBER,X,32-2000,X
BAXLEY,Charleston GS,32-2000,Charleston GS
BEATTY,Spartanburg GS,32-2000,Spartanburg GS
BREEDEN,Horry GS,32-2000,Horry GS
BROGDON,Florence GS,32-2000,Florence GS
BUCKNER,Richland CP,32-2000,Richland CP
BURCH,X,32-2000,X
CLARY,Spartanburg GS,32-2000,Spartanburg GS
COLE,X,32-2000,X
COOPER TW,Sumter GS,32-2000,Sumter GS
DENNIS,9th Cir. CPNJ,32-2000,9th Cir. CPNJ
FEW,Beaufort GS,32-2000,Beaufort GS
FLOYD H,Pickens CP,32-2000,Pickens CP
FLOYD S,Horry GS,32-2000,Horry GS
GOODE,Fairfield GS,32-2000,Fairfield GS
GOODSTEIN,Orangeburg CP,32-2000,Orangeburg CP
GREGORY,Beaufort CP,32-2000,Beaufort CP
HALL,10th Cir. CPNJ,32-2000,10th Cir. CPNJ
HARWELL,Florence GS,32-2000,Florence GS
HAYES,York GS,32-2000,York GS
JOHNSON,Newberry GS,32-2000,Newberry GS
KEESLEY,Aiken GS,32-2000,Aiken GS
KINARD,Richland GS,32-2000,Richland GS
KING,Clarendon CP,32-2000,Clarendon CP
KITTREDGE,Greenville GS,32-2000,Greenville GS
LEE,X,32-2000,X
LOCKEMY,Military,32-2000,Military
MACAULAY,Darlington GS,32-2000,Darlington GS
MANNING,Richland GS,32-2000,Richland GS
MARTIN,X,32-2000,X
MCKELLAR,Jasper CP,32-2000,Jasper CP
MILLING,3rd Cir. CPNJ/PCR + Sumter GS CC 8,32-2000,3rd Cir. CPNJ/PCR 
NICHOLSON,Anderson CP,32-2000,Anderson CP
PATTERSON,Greenville CP,32-2000,Greenville CP
PEEPLES,11th Cir. CPNJ,32-2000,11th Cir. CPNJ
PIEPER,Charleston CP,32-2000,Charleston CP
RAWL,Berkeley CP,32-2000,Berkeley CP
SAUNDERS,Sick,32-2000,Sick
SHORT,X,32-2000,X
THOMAS,Georgetown CP,32-2000,Georgetown CP
WATSON,X,32-2000,X
WESTBROOK,Lexington CP,32-2000,Lexington CP
WILLIAMS,Dorchester CP ,32-2000,Dorchester CP 
BROWN,Colleton GS,32-2000,Colleton GS
COTTINGHAM,na,32-2000,na
HUGHSTON,Greenville GS,32-2000,Greenville GS
COUCH,na,32-2000,na
SMOAK,Charleston GS,32-2000,Charleston GS
COOPER GT,Greenwood CP,32-2000,Greenwood CP
NEWMAN,Charleston CP,32-2000,Charleston CP
SIMMONS,na,32-2000,na
GIER,York CPNJ 10,32-2000,York CPNJ 10
BERGDORF,na,32-2000,na
ALFORD,in chambers,33-2000,in chambers
BARBER,in chambers + Richland GS(SGJ) 15,33-2000,in chambers 
BAXLEY,in chambers,33-2000,in chambers
BEATTY,in chambers,33-2000,in chambers
BREEDEN,in chambers + 15th Cir. CPNJ 15,33-2000,in chambers 
BROGDON,in chambers + 12th Cir. CPNJ 15,33-2000,in chambers 
BUCKNER,in chambers,33-2000,in chambers
BURCH,in chambers,33-2000,in chambers
CLARY,in chambers,33-2000,in chambers
COLE,in chambers,33-2000,in chambers
COOPER TW,in chambers + 3rd Cir. CPNJ 14,33-2000,in chambers 
DENNIS,in chambers + Berkeley GS(SGJ) 14,33-2000,in chambers 
FEW,in chambers + 13th Cir. CPNJ 14,33-2000,in chambers 
FLOYD H,in chambers,33-2000,in chambers
FLOYD S,in chambers,33-2000,in chambers
GOODE,in chambers,33-2000,in chambers
