JudgeName,FullAssignment,Week,Assignment
COOPER TW,Richland GS,22-2001,Richland GS
DENNIS,Dorchester GS,22-2001,Dorchester GS
FEW,7th Cir. CPNJ,22-2001,7th Cir. CPNJ
FLOYD H,XX,22-2001,XX
FLOYD S,Dillon GS,22-2001,Dillon GS
GOODE,Lee CP,22-2001,Lee CP
GOODSTEIN,Beaufort CP,22-2001,Beaufort CP
GREGORY,9th Cir. CPNJ,22-2001,9th Cir. CPNJ
HALL,Anderson CP,22-2001,Anderson CP
HARWELL,15th Cir. CPNJ,22-2001,15th Cir. CPNJ
HAYES,Cherokee GS,22-2001,Cherokee GS
JOHNSON,"10th Cir. CPNJ/PCR 28,29,30 + Lexington GS 31,1",22-2001,"10th Cir. CPNJ/PCR 28,29,30 "
KEESLEY,McCormick CP,22-2001,McCormick CP
KINARD,Chesterfield CP,22-2001,Chesterfield CP
KING,York GS,22-2001,York GS
KITTREDGE,Oconee GS,22-2001,Oconee GS
LEE,Richland CP,22-2001,Richland CP
LOCKEMY,Charleston GS,22-2001,Charleston GS
MACAULAY,Richland GS,22-2001,Richland GS
MANNING,"Florence CP 30,31,1 + X 29",22-2001,"Florence CP 30,31,1 "
MARTIN,14th Cir. CPNJ,22-2001,14th Cir. CPNJ
MCKELLAR,Sumter GS,22-2001,Sumter GS
MILLING,Horry CP,22-2001,Horry CP
NEWMAN,5th Cir. CPNJ,22-2001,5th Cir. CPNJ
NICHOLSON,"10th Cir. CPNJ/PCR 31,1 + Lexington GS 28,29,30",22-2001,"10th Cir. CPNJ/PCR 31,1 "
PATTERSON,Greenville CP,22-2001,Greenville CP
PEEPLES,Orangeburg CP,22-2001,Orangeburg CP
PIEPER,Charleston CP,22-2001,Charleston CP
RAWL,Beaufort CP,22-2001,Beaufort CP
SAUNDERS,13th Cir. CPNJ,22-2001,13th Cir. CPNJ
SHORT,York GS,22-2001,York GS
THOMAS,Charleston CP,22-2001,Charleston CP
WATSON,Newberry CP,22-2001,Newberry CP
WESTBROOK,XX,22-2001,XX
WILLIAMS,3rd Cir. CPNJ/PCR,22-2001,3rd Cir. CPNJ/PCR
BROWN,Hampton GS,22-2001,Hampton GS
COTTINGHAM,na,22-2001,na
HUGHSTON,Charleston GS,22-2001,Charleston GS
PYLE,Greenville GS,22-2001,Greenville GS
SMOAK,na,22-2001,na
GIER,na,22-2001,na
SIMMONS,na,22-2001,na
YOUNG,na,22-2001,na
ALFORD,in chambers + 7th Cir. CP/PCR,19-2001, 7th Cir. CP/PCR
BROGDON,in chambers + Horry GS 9,19-2001, Horry GS 9
DENNIS,in chambers + 9th Cir. CPNJ 7 + 1st Cir. CPNJ 8 + 9th Cir. CPNJ 8 + 1st Cir. CPNJ 9,19-2001, 9th Cir. CPNJ 7 
GOODSTEIN,in chambers + 14th Cir. CPNJ 7,19-2001, 14th Cir. CPNJ 7
KINARD,in chambers + 8th Cir. CPNJ/PCR 7,19-2001, 8th Cir. CPNJ/PCR 7
KING,in chambers + Clarendon GS 8 + 3rd Cir. CPNJ 8,19-2001, Clarendon GS 8 
LEE,in chambers + 5th Cir. CPNJ 8,19-2001, 5th Cir. CPNJ 8
MANNING,in chambers + 5th Cir. CPNJ 7,19-2001, 5th Cir. CPNJ 7
MCKELLAR,in chambers + 5th Cir. CPNJ 8,19-2001, 5th Cir. CPNJ 8
PATTERSON,in chambers + Greenville GS(SGJ) 7 + 13th Cir. CPNJ 8,19-2001, Greenville GS(SGJ) 7 
PEEPLES,in chambers + Lancaster 8,19-2001, Lancaster 8
RAWL,in chambers + 9th Cir. CPNJ 8,19-2001, 9th Cir. CPNJ 8
WESTBROOK,"in chambers + Richland GS 7,8",19-2001," Richland GS 7,8"
BROWN,na,19-2001,na
COTTINGHAM,na,19-2001,na
HUGHSTON,na,19-2001,na
PYLE,na,19-2001,na
SMOAK,na,19-2001,na
DENNIS,Calhoun CP + Kershaw GS CC 17,20-2001, Kershaw GS CC 17
FEW,7th Cir. CPNJ/PCR + Spartanburg GS CC,20-2001, Spartanburg GS CC
LOCKEMY,Richland CP + Richland GS CC 18,20-2001, Richland GS CC 18
MANNING,Marion GS  + 5th Cir. CPNJ CC 14,20-2001, 5th Cir. CPNJ CC 14
RAWL,"Colleton GS 14,15,16 + X 17,18",20-2001," X 17,18"
SHORT,"X 15,16,17,18 + Williamsburg GS 14",20-2001, Williamsburg GS 14
THOMAS,"Charleston GS + Horry GS CC 17,18",20-2001," Horry GS CC 17,18"
WILLIAMS,"Williamsburg GS 16,17,18 + Medical 14,15",20-2001," Medical 14,15"
PYLE,na,20-2001,na
GIER,na,20-2001,na
YOUNG,na,20-2001,na
KITTREDGE,"Anderson GS 21,22,23 + Medical 24,25",21-2001," Medical 24,25"
MANNING,"Marion GS 21,22,23 + X 24,25",21-2001," X 24,25"
JOHNSON,"10th Cir. CPNJ/PCR 28,29,30 + Lexington GS 31,1",22-2001," Lexington GS 31,1"
MANNING,"Florence CP 30,31,1 + X 29",22-2001, X 29
NICHOLSON,"10th Cir. CPNJ/PCR 31,1 + Lexington GS 28,29,30",22-2001," Lexington GS 28,29,30"
COTTINGHAM,na,22-2001,na
SMOAK,na,22-2001,na
GIER,na,22-2001,na
SIMMONS,na,22-2001,na
YOUNG,na,22-2001,na
DENNIS,in chambers + 9th Cir. CPNJ 7 + 1st Cir. CPNJ 8 + 9th Cir. CPNJ 8 + 1st Cir. CPNJ 9,19-2001, 1st Cir. CPNJ 8 
KING,in chambers + Clarendon GS 8 + 3rd Cir. CPNJ 8,19-2001, 3rd Cir. CPNJ 8
PATTERSON,in chambers + Greenville GS(SGJ) 7 + 13th Cir. CPNJ 8,19-2001, 13th Cir. CPNJ 8
BROWN,na,19-2001,na
COTTINGHAM,na,19-2001,na
HUGHSTON,na,19-2001,na
PYLE,na,19-2001,na
SMOAK,na,19-2001,na
PYLE,na,20-2001,na
GIER,na,20-2001,na
YOUNG,na,20-2001,na
COTTINGHAM,na,22-2001,na
SMOAK,na,22-2001,na
GIER,na,22-2001,na
SIMMONS,na,22-2001,na
YOUNG,na,22-2001,na
DENNIS,in chambers + 9th Cir. CPNJ 7 + 1st Cir. CPNJ 8 + 9th Cir. CPNJ 8 + 1st Cir. CPNJ 9,19-2001, 9th Cir. CPNJ 8 
BROWN,na,19-2001,na
COTTINGHAM,na,19-2001,na
HUGHSTON,na,19-2001,na
PYLE,na,19-2001,na
SMOAK,na,19-2001,na
PYLE,na,20-2001,na
GIER,na,20-2001,na
YOUNG,na,20-2001,na
COTTINGHAM,na,22-2001,na
SMOAK,na,22-2001,na
GIER,na,22-2001,na
SIMMONS,na,22-2001,na
YOUNG,na,22-2001,na
DENNIS,in chambers + 9th Cir. CPNJ 7 + 1st Cir. CPNJ 8 + 9th Cir. CPNJ 8 + 1st Cir. CPNJ 9,19-2001, 1st Cir. CPNJ 9
BROWN,na,19-2001,na
COTTINGHAM,na,19-2001,na
HUGHSTON,na,19-2001,na
PYLE,na,19-2001,na
SMOAK,na,19-2001,na
PYLE,na,20-2001,na
GIER,na,20-2001,na
YOUNG,na,20-2001,na
COTTINGHAM,na,22-2001,na
SMOAK,na,22-2001,na
GIER,na,22-2001,na
SIMMONS,na,22-2001,na
YOUNG,na,22-2001,na
ALFORD,York GS,45-2000,York GS
BARBER,5th Cir. AW,45-2000,5th Cir. AW
BAXLEY,Newberry GS,45-2000,Newberry GS
BEATTY,Medical,45-2000,Medical
BREEDEN,"X 8,9 + 15th Cir. CPNJ 6,7",45-2000,"X 8,9 "
BROGDON,Florence GS,45-2000,Florence GS
BUCKNER,Aiken GS,45-2000,Aiken GS
BURCH,X,45-2000,X
CLARY,X,45-2000,X
COLE,Cherokee GS,45-2000,Cherokee GS
COOPER TW,Williamsburg CP,45-2000,Williamsburg CP
DENNIS,York GS,45-2000,York GS
FEW,Greenville GS,45-2000,Greenville GS
FLOYD H,X,45-2000,X
FLOYD S,Horry GS,45-2000,Horry GS
GOODE,Edgefield GS,45-2000,Edgefield GS
GOODSTEIN,Beaufort GS,45-2000,Beaufort GS
GREGORY,14th Cir. CPNJ,45-2000,14th Cir. CPNJ
HALL,10th Cir. CPNJ,45-2000,10th Cir. CPNJ
HARWELL,Florence GS,45-2000,Florence GS
HAYES,Charleston CP,45-2000,Charleston CP
JOHNSON,Greenwood GS,45-2000,Greenwood GS
KEESLEY,Sick,45-2000,Sick
KINARD,Richland CP,45-2000,Richland CP
KING,3rd Cir. CPNJ,45-2000,3rd Cir. CPNJ
KITTREDGE,Greenville GS,45-2000,Greenville GS
LEE,1st Cir. CPNJ,45-2000,1st Cir. CPNJ
LOCKEMY,Dillon GS,45-2000,Dillon GS
MACAULAY,Anderson CP,45-2000,Anderson CP
MANNING,X,45-2000,X
MARTIN,9th Cir. AW,45-2000,9th Cir. AW
MCKELLAR,5th Cir. CPNJ,45-2000,5th Cir. CPNJ
MILLING,Chesterfield GS,45-2000,Chesterfield GS
NICHOLSON,Anderson GS + 10th Cir. CPNJ CC 8,45-2000,Anderson GS 
PATTERSON,13th Cir. CPNJ/PCR,45-2000,13th Cir. CPNJ/PCR
PEEPLES,Aiken CP,45-2000,Aiken CP
PIEPER,Charleston GS,45-2000,Charleston GS
RAWL,9th Cir. CPNJ,45-2000,9th Cir. CPNJ
SAUNDERS,8th Cir. CPNJ,45-2000,8th Cir. CPNJ
SHORT,6th Cir. CPNJ,45-2000,6th Cir. CPNJ
THOMAS,Horry CP,45-2000,Horry CP
WATSON,16th Cir. CPNJ,45-2000,16th Cir. CPNJ
WESTBROOK,11th Cir. CPNJ,45-2000,11th Cir. CPNJ
WILLIAMS,Kershaw GS,45-2000,Kershaw GS
BROWN,Orangeburg GS,45-2000,Orangeburg GS
COTTINGHAM,Horry GS,45-2000,Horry GS
HUGHSTON,Charleston CP + Charleston GS CC 9,45-2000,Charleston CP 
PYLE,Greenville CP,45-2000,Greenville CP
COUCH,na,45-2000,na
SMOAK,Charleston GS,45-2000,Charleston GS
COOPER GT,Richland GS,45-2000,Richland GS
NEWMAN,Sumter GS,45-2000,Sumter GS
SIMMONS,Greenville GS 8,45-2000,Greenville GS 8
GIER,York CPNJ 9,45-2000,York CPNJ 9
DREW,10th Cir. CPNJ 8,45-2000,10th Cir. CPNJ 8
WATTS,na,45-2000,na
ALFORD,York CP,46-2000,York CP
BARBER,Aiken GS,46-2000,Aiken GS
BAXLEY,3rd Cir. CPNJ/PCR,46-2000,3rd Cir. CPNJ/PCR
BEATTY,Spartanburg GS,46-2000,Spartanburg GS
BREEDEN,15th Cir. CPNJ,46-2000,15th Cir. CPNJ
BROGDON,Florence CP,46-2000,Florence CP
BUCKNER,Beaufort CP,46-2000,Beaufort CP
BURCH,Hampton GS,46-2000,Hampton GS
CLARY,Lexington CP,46-2000,Lexington CP
COLE,Spartanburg GS,46-2000,Spartanburg GS
COOPER TW,Sumter GS,46-2000,Sumter GS
DENNIS,Berkeley GS,46-2000,Berkeley GS
FEW,13th Cir. CPNJ,46-2000,13th Cir. CPNJ
FLOYD H,Pickens GS,46-2000,Pickens GS
FLOYD S,Horry GS,46-2000,Horry GS
GOODE,Chester GS,46-2000,Chester GS
GOODSTEIN,Dorchester GS,46-2000,Dorchester GS
GREGORY,Colleton CP,46-2000,Colleton CP
HALL,Oconee CP,46-2000,Oconee CP
HARWELL,12th Cir. CPNJ/PCR,46-2000,12th Cir. CPNJ/PCR
HAYES,Charleston CP,46-2000,Charleston CP
JOHNSON,Greenwood GS + Medical 17,46-2000,Greenwood GS 
KEESLEY,Sick,46-2000,Sick
KINARD,Kershaw GS,46-2000,Kershaw GS
KING,"Williamsburg CP + Sumter GS CC 15,16,17",46-2000,Williamsburg CP 
KITTREDGE,Greenville GS,46-2000,Greenville GS
LEE,Richland GS,46-2000,Richland GS
LOCKEMY,1st Cir. Cap.PCR,46-2000,1st Cir. Cap.PCR
MACAULAY,Anderson GS,46-2000,Anderson GS
MANNING,Orangeburg GS,46-2000,Orangeburg GS
MARTIN,Charleston GS,46-2000,Charleston GS
MCKELLAR,Richland CP,46-2000,Richland CP
MILLING,Darlington CP,46-2000,Darlington CP
NICHOLSON,Anderson GS,46-2000,Anderson GS
PATTERSON,Greenville CP,46-2000,Greenville CP
PEEPLES,11th Cir. CPNJ/PCR,46-2000,11th Cir. CPNJ/PCR
PIEPER,Cherokee CP,46-2000,Cherokee CP
RAWL,Union GS,46-2000,Union GS
SAUNDERS,Newberry GS,46-2000,Newberry GS
SHORT,Lancaster CP,46-2000,Lancaster CP
THOMAS,Georgetown CP,46-2000,Georgetown CP
WATSON,Greenville CP,46-2000,Greenville CP
WESTBROOK,Lexington GS(SGJ),46-2000,Lexington GS(SGJ)
WILLIAMS,Richland GS,46-2000,Richland GS
BROWN,Charleston GS,46-2000,Charleston GS
COTTINGHAM,Marlboro GS,46-2000,Marlboro GS
HUGHSTON,Beaufort GS,46-2000,Beaufort GS
PYLE,Greenville GS,46-2000,Greenville GS
COUCH,na,46-2000,na
SMOAK,9th Cir. CPNJ,46-2000,9th Cir. CPNJ
COOPER GT,5th Cir. CPNJ,46-2000,5th Cir. CPNJ
NEWMAN,Marion CP,46-2000,Marion CP
SIMMONS,na,46-2000,na
GIER,na,46-2000,na
DREW,na,46-2000,na
WATTS,na,46-2000,na
ALFORD,in chambers,47-2000,in chambers
BARBER,in chambers,47-2000,in chambers
BAXLEY,in chambers,47-2000,in chambers
BEATTY,in chambers,47-2000,in chambers
BREEDEN,in chambers + Horry GS 20,47-2000,in chambers 
BROGDON,"in chambers + 12th Cir. CPNJ 20,21",47-2000,in chambers 
BUCKNER,in chambers,47-2000,in chambers
BURCH,in chambers,47-2000,in chambers
CLARY,in chambers,47-2000,in chambers
COLE,in chambers,47-2000,in chambers
COOPER TW,"in chambers + 3rd Cir. CPNJ 20,21",47-2000,in chambers 
DENNIS,Charleston CP,47-2000,Charleston CP
FEW,in chambers,47-2000,in chambers
FLOYD H,in chambers,47-2000,in chambers
FLOYD S,in chambers,47-2000,in chambers
GOODE,in chambers,47-2000,in chambers
GOODSTEIN,in chambers + 15th Cir. CPNJ 20,47-2000,in chambers 
GREGORY,in chambers,47-2000,in chambers
HALL,in chambers,47-2000,in chambers
HARWELL,in chambers,47-2000,in chambers
HAYES,in chambers,47-2000,in chambers
JOHNSON,in chambers,47-2000,in chambers
KEESLEY,in chambers,47-2000,in chambers
KINARD,in chambers + 5th Cir. CPNJ 20,47-2000,in chambers 
KING,"in chambers + 3rd Cir. CPNJ 20,21,22",47-2000,in chambers 
KITTREDGE,"in chambers + 13th Cir. CPNJ 21,22",47-2000,in chambers 
LEE,in chambers,47-2000,in chambers
LOCKEMY,in chambers,47-2000,in chambers
MACAULAY,in chambers,47-2000,in chambers
MANNING,in chambers,47-2000,in chambers
MARTIN,in chambers,47-2000,in chambers
MCKELLAR,in chambers,47-2000,in chambers
MILLING,in chambers,47-2000,in chambers
NICHOLSON,in chambers,47-2000,in chambers
PATTERSON,in chambers + 13th Cir. CPNJ 20,47-2000,in chambers 
PEEPLES,in chambers,47-2000,in chambers
PIEPER,in chambers + 9th Cir. CPNJ 20,47-2000,in chambers 
RAWL,in chambers,47-2000,in chambers
SAUNDERS,"in chambers + 8th Cir. CPNJ 20,21,22",47-2000,in chambers 
SHORT,in chambers,47-2000,in chambers
THOMAS,in chambers,47-2000,in chambers
WATSON,in chambers,47-2000,in chambers
WESTBROOK,in chambers,47-2000,in chambers
WILLIAMS,in chambers + Richland GS 20,47-2000,in chambers 
BROWN,na,47-2000,na
COTTINGHAM,na,47-2000,na
HUGHSTON,na,47-2000,na
PYLE,na,47-2000,na
COUCH,na,47-2000,na
SMOAK,na,47-2000,na
COOPER GT,in chambers,47-2000,in chambers
NEWMAN,in chambers,47-2000,in chambers
SIMMONS,Greenville GS 22,47-2000,Greenville GS 22
GIER,na,47-2000,na
DREW,na,47-2000,na
WATTS,na,47-2000,na
ALFORD,X,48-2000,X
BARBER,Richland GS,48-2000,Richland GS
BAXLEY,Dillon CP,48-2000,Dillon CP
BEATTY,X,48-2000,X
BREEDEN,Horry CP,48-2000,Horry CP
BROGDON,Florence CP,48-2000,Florence CP
BUCKNER,Hampton CP,48-2000,Hampton CP
BURCH,Darlington GS,48-2000,Darlington GS
CLARY,"York GS 27,28,29,30 + Medical 1",48-2000,"York GS 27,28,29,30 "
COLE,Spartanburg GS,48-2000,Spartanburg GS
COOPER TW,Clarendon CP,48-2000,Clarendon CP
DENNIS,Charleston GS,48-2000,Charleston GS
FEW,"XX 1 + Aiken GS 27,28,29,30",48-2000,XX 1 
FLOYD H,Pickens GS + Greenville CP CC 1,48-2000,Pickens GS 
FLOYD S,15th Cir. CPNJ/PCR,48-2000,15th Cir. CPNJ/PCR
GOODE,Chester GS,48-2000,Chester GS
GOODSTEIN,"Dorchester GS 27,29,30,1 + Medical 28",48-2000,"Dorchester GS 27,29,30,1 "
GREGORY,14th Cir. CPNJ/PCR,48-2000,14th Cir. CPNJ/PCR
HALL,Oconee GS,48-2000,Oconee GS
HARWELL,Marion GS,48-2000,Marion GS
HAYES,York GS,48-2000,York GS
JOHNSON,Laurens GS,48-2000,Laurens GS
KEESLEY,Sick,48-2000,Sick
KINARD,Richland CP,48-2000,Richland CP
KING,Sumter CP,48-2000,Sumter CP
KITTREDGE,13th Cir. CPNJ,48-2000,13th Cir. CPNJ
LEE,Richland GS,48-2000,Richland GS
LOCKEMY,X,48-2000,X
MACAULAY,Anderson CP,48-2000,Anderson CP
MANNING,5th Cir. CPNJ,48-2000,5th Cir. CPNJ
MARTIN,Charleston GS,48-2000,Charleston GS
MCKELLAR,Berkeley CP,48-2000,Berkeley CP
MILLING,Marlboro CP,48-2000,Marlboro CP
NICHOLSON,X,48-2000,X
PATTERSON,Greenville CP,48-2000,Greenville CP
PEEPLES,X,48-2000,X
PIEPER,9th Cir. CPNJ/PCR,48-2000,9th Cir. CPNJ/PCR
RAWL,Orangeburg CP,48-2000,Orangeburg CP
SAUNDERS,X,48-2000,X
SHORT,Fairfield CP,48-2000,Fairfield CP
THOMAS,Georgetown GS,48-2000,Georgetown GS
WATSON,Spartanburg GS,48-2000,Spartanburg GS
WESTBROOK,Edgefield CP,48-2000,Edgefield CP
WILLIAMS,Richland CP,48-2000,Richland CP
BROWN,Jasper GS,48-2000,Jasper GS
COTTINGHAM,Horry CP,48-2000,Horry CP
HUGHSTON,Abbeville GS,48-2000,Abbeville GS
PYLE,na,48-2000,na
COUCH,Cherokee CPNJ 27,48-2000,Cherokee CPNJ 27
SMOAK,Lexington GS,48-2000,Lexington GS
COOPER GT,Newberry GS CP CC,48-2000,Newberry GS CP CC
NEWMAN,X,48-2000,X
SIMMONS,Greenville GS 1,48-2000,Greenville GS 1
GIER,na,48-2000,na
DREW,na,48-2000,na
WATTS,"Dorchester CPNJ 27,28,29,30",48-2000,"Dorchester CPNJ 27,28,29,30"
BREEDEN,"X 8,9 + 15th Cir. CPNJ 6,7",45-2000," 15th Cir. CPNJ 6,7"
NICHOLSON,Anderson GS + 10th Cir. CPNJ CC 8,45-2000, 10th Cir. CPNJ CC 8
HUGHSTON,Charleston CP + Charleston GS CC 9,45-2000, Charleston GS CC 9
COUCH,na,45-2000,na
WATTS,na,45-2000,na
JOHNSON,Greenwood GS + Medical 17,46-2000, Medical 17
KING,"Williamsburg CP + Sumter GS CC 15,16,17",46-2000," Sumter GS CC 15,16,17"
COUCH,na,46-2000,na
SIMMONS,na,46-2000,na
GIER,na,46-2000,na
DREW,na,46-2000,na
WATTS,na,46-2000,na
BREEDEN,in chambers + Horry GS 20,47-2000, Horry GS 20
BROGDON,"in chambers + 12th Cir. CPNJ 20,21",47-2000," 12th Cir. CPNJ 20,21"
COOPER TW,"in chambers + 3rd Cir. CPNJ 20,21",47-2000," 3rd Cir. CPNJ 20,21"
GOODSTEIN,in chambers + 15th Cir. CPNJ 20,47-2000, 15th Cir. CPNJ 20
KINARD,in chambers + 5th Cir. CPNJ 20,47-2000, 5th Cir. CPNJ 20
KING,"in chambers + 3rd Cir. CPNJ 20,21,22",47-2000," 3rd Cir. CPNJ 20,21,22"
KITTREDGE,"in chambers + 13th Cir. CPNJ 21,22",47-2000," 13th Cir. CPNJ 21,22"
PATTERSON,in chambers + 13th Cir. CPNJ 20,47-2000, 13th Cir. CPNJ 20
PIEPER,in chambers + 9th Cir. CPNJ 20,47-2000, 9th Cir. CPNJ 20
SAUNDERS,"in chambers + 8th Cir. CPNJ 20,21,22",47-2000," 8th Cir. CPNJ 20,21,22"
WILLIAMS,in chambers + Richland GS 20,47-2000, Richland GS 20
BROWN,na,47-2000,na
COTTINGHAM,na,47-2000,na
HUGHSTON,na,47-2000,na
PYLE,na,47-2000,na
COUCH,na,47-2000,na
SMOAK,na,47-2000,na
GIER,na,47-2000,na
DREW,na,47-2000,na
WATTS,na,47-2000,na
CLARY,"York GS 27,28,29,30 + Medical 1",48-2000, Medical 1
FEW,"XX 1 + Aiken GS 27,28,29,30",48-2000," Aiken GS 27,28,29,30"
FLOYD H,Pickens GS + Greenville CP CC 1,48-2000, Greenville CP CC 1
GOODSTEIN,"Dorchester GS 27,29,30,1 + Medical 28",48-2000, Medical 28
PYLE,na,48-2000,na
GIER,na,48-2000,na
DREW,na,48-2000,na
COUCH,na,45-2000,na
WATTS,na,45-2000,na
COUCH,na,46-2000,na
SIMMONS,na,46-2000,na
GIER,na,46-2000,na
DREW,na,46-2000,na
WATTS,na,46-2000,na
BROWN,na,47-2000,na
COTTINGHAM,na,47-2000,na
HUGHSTON,na,47-2000,na
PYLE,na,47-2000,na
COUCH,na,47-2000,na
SMOAK,na,47-2000,na
GIER,na,47-2000,na
DREW,na,47-2000,na
WATTS,na,47-2000,na
PYLE,na,48-2000,na
GIER,na,48-2000,na
DREW,na,48-2000,na
COUCH,na,45-2000,na
WATTS,na,45-2000,na
COUCH,na,46-2000,na
SIMMONS,na,46-2000,na
GIER,na,46-2000,na
DREW,na,46-2000,na
WATTS,na,46-2000,na
BROWN,na,47-2000,na
COTTINGHAM,na,47-2000,na
HUGHSTON,na,47-2000,na
PYLE,na,47-2000,na
COUCH,na,47-2000,na
SMOAK,na,47-2000,na
GIER,na,47-2000,na
DREW,na,47-2000,na
WATTS,na,47-2000,na
PYLE,na,48-2000,na
GIER,na,48-2000,na
DREW,na,48-2000,na
COUCH,na,45-2000,na
WATTS,na,45-2000,na
COUCH,na,46-2000,na
SIMMONS,na,46-2000,na
GIER,na,46-2000,na
DREW,na,46-2000,na
WATTS,na,46-2000,na
BROWN,na,47-2000,na
COTTINGHAM,na,47-2000,na
HUGHSTON,na,47-2000,na
PYLE,na,47-2000,na
COUCH,na,47-2000,na
SMOAK,na,47-2000,na
GIER,na,47-2000,na
DREW,na,47-2000,na
WATTS,na,47-2000,na
PYLE,na,48-2000,na
GIER,na,48-2000,na
DREW,na,48-2000,na
ALFORD,Fairfield GS,6-2001,Fairfield GS
BARBER,Barnwell GS,6-2001,Barnwell GS
BAXLEY,15th Cir. CPNJ,6-2001,15th Cir. CPNJ
BEATTY,Spartanburg GS,6-2001,Spartanburg GS
BREEDEN,Richland GS,6-2001,Richland GS
BROGDON,Horry GS,6-2001,Horry GS
BUCKNER,Orangeburg GS,6-2001,Orangeburg GS
BURCH,Florence GS,6-2001,Florence GS
CLARY,Lexington GS,6-2001,Lexington GS
COLE,Spartanburg CP,6-2001,Spartanburg CP
COOPER GT,Laurens GS,6-2001,Laurens GS
COOPER TW,5th Cir. CPNJ + Orangeburg GS CC 9,6-2001,5th Cir. CPNJ 
DENNIS,Dorchester CP,6-2001,Dorchester CP
FEW,7th Cir. CPNJ,6-2001,7th Cir. CPNJ
FLOYD H,Greenville GS,6-2001,Greenville GS
FLOYD S,Chesterfield GS,6-2001,Chesterfield GS
GOODE,Sumter CP,6-2001,Sumter CP
GOODSTEIN,Beaufort CP,6-2001,Beaufort CP
GREGORY,9th Cir. CPNJ,6-2001,9th Cir. CPNJ
HALL,Greenville CP,6-2001,Greenville CP
HARWELL,4th Cir. CPNJ/PCR,6-2001,4th Cir. CPNJ/PCR
HAYES,Cherokee CP,6-2001,Cherokee CP
JOHNSON,10th Cir. CPNJ,6-2001,10th Cir. CPNJ
KEESLEY,"11th Cir. CPNJ 7,8,9 + XX 5,6",6-2001,"11th Cir. CPNJ 7,8,9 "
KINARD,Saluda GS,6-2001,Saluda GS
KING,York GS,6-2001,York GS
KITTREDGE,Anderson GS,6-2001,Anderson GS
LEE,Richland CP,6-2001,Richland CP
LOCKEMY,5th Cir. CPNJ,6-2001,5th Cir. CPNJ
MACAULAY,Richland CP,6-2001,Richland CP
MANNING,Florence GS,6-2001,Florence GS
MARTIN,na,6-2001,na
MCKELLAR,Williamsburg GS,6-2001,Williamsburg GS
MILLING,Horry GS,6-2001,Horry GS
NEWMAN,Charleston CP,6-2001,Charleston CP
NICHOLSON,Anderson GS,6-2001,Anderson GS
PATTERSON,Greenville GS,6-2001,Greenville GS
PEEPLES,2nd Cir. CPNJ,6-2001,2nd Cir. CPNJ
PIEPER,Charleston CP,6-2001,Charleston CP
RAWL,Beaufort CP,6-2001,Beaufort CP
SAUNDERS,Greenville CP,6-2001,Greenville CP
SHORT,York GS,6-2001,York GS
THOMAS,Charleston GS,6-2001,Charleston GS
WATSON,8th Cir. CPNJ,6-2001,8th Cir. CPNJ
WESTBROOK,Richland GS,6-2001,Richland GS
WILLIAMS,Clarendon GS,6-2001,Clarendon GS
BROWN,Colleton GS,6-2001,Colleton GS
COTTINGHAM,na,6-2001,na
HUGHSTON,Charleston GS,6-2001,Charleston GS
PYLE,Greenville GS,6-2001,Greenville GS
GIER,York CPNJ 8,6-2001,York CPNJ 8
SIMMONS,na,6-2001,na
YOUNG,na,6-2001,na
SMOAK,na,6-2001,na
WATTS,na,6-2001,na
ALFORD,Chester CP,7-2001,Chester CP
BARBER,Aiken GS,7-2001,Aiken GS
BAXLEY,Horry CP,7-2001,Horry CP
BEATTY,Lancaster GS,7-2001,Lancaster GS
BREEDEN,Richland CP,7-2001,Richland CP
BROGDON,Horry GS,7-2001,Horry GS
BUCKNER,Beaufort GS,7-2001,Beaufort GS
BURCH,Marion CP,7-2001,Marion CP
CLARY,Lexington GS,7-2001,Lexington GS
COLE,Spartanburg GS,7-2001,Spartanburg GS
COOPER GT,Newberry CP,7-2001,Newberry CP
COOPER TW,X,7-2001,X
DENNIS,1st Cir. CPNJ/PCR,7-2001,1st Cir. CPNJ/PCR
FEW,Greenville GS,7-2001,Greenville GS
FLOYD H,Pickens CP,7-2001,Pickens CP
FLOYD S,4th Cir. CPNJ,7-2001,4th Cir. CPNJ
GOODE,3rd Cir. CPNJ,7-2001,3rd Cir. CPNJ
GOODSTEIN,Charleston CP,7-2001,Charleston CP
GREGORY,5th Cir. CPNJ,7-2001,5th Cir. CPNJ
HALL,Greenville GS,7-2001,Greenville GS
HARWELL,12th Cir. CPNJ,7-2001,12th Cir. CPNJ
HAYES,Spartanburg GS,7-2001,Spartanburg GS
JOHNSON,Anderson GS,7-2001,Anderson GS
KEESLEY,Edgefield CP,7-2001,Edgefield CP
KINARD,Dillon GS,7-2001,Dillon GS
KING,Union GS,7-2001,Union GS
KITTREDGE,Anderson CP,7-2001,Anderson CP
LEE,Richland CP,7-2001,Richland CP
LOCKEMY,Richland CP,7-2001,Richland CP
MACAULAY,Richland GS,7-2001,Richland GS
MANNING,"Florence CP 12,13,15,16 + X 14",7-2001,"Florence CP 12,13,15,16 "
MARTIN,Beaufort CP,7-2001,Beaufort CP
MCKELLAR,Sumter CP,7-2001,Sumter CP
MILLING,Horry GS,7-2001,Horry GS
NEWMAN,9th Cir. CPNJ,7-2001,9th Cir. CPNJ
NICHOLSON,Lexington CP,7-2001,Lexington CP
PATTERSON,na,7-2001,na
